!IOTYPE  ikx stn_id
 t       187 BGTL
 t       187 BIAR
 t       187 BIBD
 t       187 BIEG
 t       187 BIGR
 t       187 BIHN
 t       187 BIIS
 t       187 BIKF
 t       187 BIRK
 t       187 BIVM
 t       187 BIVO
 t       187 CBBC
 t       187 CWEU
 t       187 CWGZ
 t       187 CWKM
 t       187 CWSA
 t       187 CWWU
 t       187 CYAS
 t       187 CYAW
 t       187 CYAZ
 t       187 CYBC
 t       187 CYBK
 t       187 CYBV
 t       187 CYBX
 t       187 CYCD
 t       187 CYCS
 t       187 CYFB
 t       187 CYFR
 t       187 CYGR
 t       187 CYGT
