AR671   APRSWXNET   8697 10545  39  13.4  -0.2   1.4  39   3.7   0.9    1.7   13   16
LRLN7   RAWS        8698 10790  38  18.9  -1.2   1.2  38   4.0   0.9    1.0   21   15
ASTM2   RAWS        8699 11319  40  22.7   2.1   1.6  40   3.7  -0.9    1.9   27   -8
SCSI4   IEM         8700 12174  40  16.5   1.3   1.1  40   4.2  -0.9    1.9   32  -10
ESPC2   RAWS        8701 12413  40  13.3   1.1   2.0  40   3.0  -0.9    2.1   19    4
AS402   APRSWXNET   8702 20662  37  17.5   0.5   1.1  37   3.6   0.9    1.6   19   18
AS459   APRSWXNET   8703 21059  39  17.8  -0.3   2.1  40   0.8  -0.9    1.3    1  -18
AS549   APRSWXNET   8704 22504  39  29.9   0.9   0.8  39   1.1  -0.9    1.1    1  -43
MNOKA   AWS         8705 23165  39  18.9   1.2   1.9  39   3.6  -0.9    1.3   25  -12
COLOR   AWS         8706 23178  39  15.2  -0.7   1.6  39   4.2  -0.9    1.8   27  -29
GDNGS   AWS         8707 23338  37  28.9   0.2   1.9  37   2.8  -0.9    1.4   14   45
DNTNP   AWS         8708 24284  40  25.7  -0.2   1.3  40   3.4  -0.9    1.6   26    2
AXDRA   AWS         8709 24536  37  23.4   0.9   1.0  37   2.1  -0.9    1.6   10   -4
TFTCN   AWS         8710 25836  40  27.4   0.4   0.8  40   1.7  -0.9    0.9    6   13
TIM60   MesoWest    8711 16588  26   4.8  -4.0   1.9  26   1.9  -0.9    1.2    7  108
TX050   NOS-NWLON   8712 18190  27  28.7   1.6   0.8  27   4.7  -0.9    2.4   23   -2
AR104   APRSWXNET   8713 10521  38  24.7  -0.3   0.7  38   0.7  -0.9    1.2    2   -6
LCLT1   RAWS        8714 10781  39  21.8  -1.6   1.2  39   1.6  -0.9    1.4    3    8
FCRT1   RAWS        8715 11071  39  25.2   1.6   0.9  39   2.8  -0.9    1.6   23   -2
EKNW3   WIDOT       8717 15036  34  15.5   0.5   1.6  34   5.0  -0.9    1.8   29    9
IN001   INDOT       8718 16798  39  18.2   2.6   2.9  35   5.0  -0.9    2.4   26   20
CQ071   MesoWest    8719 18384  37  20.7  -0.1   1.8  37   4.5   0.9    2.6   21  -20
AS457   APRSWXNET   8720 21058  39  27.9  -0.5   0.7  39   1.6  -0.9    1.2    8  -33
C7511   APRSWXNET   8721 22999  39  29.9   1.6   1.3  39   1.8  -0.9    1.3   10    6
GALUP   AWS         8722 23337  34  19.7   1.6   1.8  34   3.9  -0.9    1.7   23  -14
WJRDN   AWS         8723 23667  36  14.4  -1.7   1.2  36   3.8   0.9    2.2   16  -29
CNTRY   AWS         8724 24643  37  28.0   1.7   1.2  37   1.6  -0.9    1.0    5   -6
SHEFF   AWS         8725 25137  39  26.0   0.7   0.8  39   2.4  -0.9    1.3   18   19
SENSE   AWS         8726 25817  35  22.3   0.6   1.1  35   1.9  -0.9    1.8    4   34
C5590   APRSWXNET   8736  4918  34  19.8   0.2   0.9  34   3.2  -0.9    1.7   23   -9
